DHEA,dhea,C0011185
isotonic saline solution,isotonic saline solution,G0000000|C0036082|C0037633
routine nursing care,routine nursing care,C0205547|C0006147|C1947933
no snacks,snacks,C0453863
lumiracoxib,lumiracoxib,C1176415
ketoprofen,ketoprofen,C0022635
clonidine-bupivacaine,clonidine-bupivacaine,C0009014
standardized radiographs,standardized radiographs,G0000000|C1306645
ethinyl estradiol/desogestrel,ethinyl estradiol/desogestrel,G0000000|C0014912
modified carbohydrate nutrition classes,modified carbohydrate nutrition classes,C0392747|C0007004|C0028707|C0456387
wait-list control ( WLC ),wait-list control wlc,C0043010|C0243148|G0000000
cardiac surgery,cardiac surgery,C0018787|C0038894
palatal operations,palatal operations,C0700374|C0038895
Cr supplementation ( CrS ),cr supplementation crs,C0201975|C0242297|C0010278
premedication,premedication,C0033045
oat cereal group ( standardized to 5.52 g/day beta-glucan ),oat cereal standardized 5 52 g/day beta-glucan,C0028753|C0007757|G0000000|G0000000|C0450371|C0439417|C1134651
"lamotrigine , the drug was titrated upward over 8 weeks to reach a mean maintenance dose of 5.0 mg/kg per day",lamotrigine drug titrated upward 8 weeks reach maintenance dose 5 0 mg/kg day,C0064636|C0013227|C1883350|C1282911|G0000000|C0439230|C2584321|C0024501|C0178602|G0000000|G0000000|C0439272|C0332173
PRE,pre,C0332152
postural support roll and a postural support nappy,postural support roll postural support nappy,C0205278|C0183683|G0000000|C0205278|C0183683|C0180416
PRD,prd,C0032952
no-intervention,no-intervention,C0886296
whole-cell DPT ( WCDPT ),whole-cell dpt wcdpt,C1269647|C1414143|G0000000
routine publicity campaign,routine publicity campaign,C0205547|C0683753|G0000000
dietary glutamine supplementation .,dietary glutamine supplementation,C0012155|C0017797|C0242297
exercise therapy group,exercise therapy,C0015259|C0039798
candesartan,candesartan,C0717550
PRP,prp,C0032027
"5-fluorouracil , doxorubicin and methotrexate ( FAMTX ) prior to surgery",5-fluorouracil doxorubicin methotrexate famtx prior surgery,C0016360|C0013089|C0025677|C0051571|C0332152|C0038894
clomiphene citrate ( CC ),clomiphene citrate cc,C0009008|C0008857|C3538933
intravenous iron gluconate,intravenous iron gluconate,C0348016|C0302583|C0017714
traditional open technique,traditional technique,C0443324|C0449851
satisfaction questionnaire,satisfaction questionnaire,C0242428|C0034394
risperidone plus parent training,risperidone parent training,C0073393|C0030551|C0040607
Bile acid replacement therapy,bile acid replacement therapy,C0005388|C0001128|C0035139|C0039798
Sodium cromoglycate,sodium cromoglycate,C0037473|C0010347
mitomycin C plus doxorubicin sequential therapy,mitomycin doxorubicin sequential therapy,C0002475|C0013089|C1548958|C0039798
primary PBSCT,primary pbsct,C0205225|G0000000
PSA,psa,C3810537
alendronate 70 mg once a week :,alendronate 70 week,C0102118|C0450371|C0332174
strength training group,strength training,C0237897|C0040607
PSE,pse,C1518860
SofScale,sofscale,G0000000
long-stay ( LS ),long-stay ls,C0205166|C0023668
Clofibrate,clofibrate,C0009002
coumarin,coumarin,C0010206
forearm gauntlet ( Colles ' ) cast,forearm gauntlet colles cast,C0016536|G0000000|G0000000|C0179686
dietary pyridoxine,dietary pyridoxine,C0012155|C0034272
PSK,psk,C0072522
"metronidazole , amoxycillin , and omeprazole",metronidazole amoxycillin omeprazole,C0025872|C0002645|C0028978
atrioventricular synchronous,atrioventricular synchronous,G0000000|C0439580
telehealth intervention,telehealth intervention,C0162648|C0886296
6-thioguanine,6-thioguanine,C0039902
interferon alpha 2b plus ribavirin,interferon alpha 2b ribavirin,C0021747|C0439095|C1420850|C0035525
morphine formulation ( OAD morphine ),morphine formulation oad morphine,C0026549|C0524527|G0000000|C0026549
symbolic play,symbolic play,G0000000|C0032214
ivermectin pour-on ( SG+IVPO,ivermectin pour-on sg+ivpo,C0022322|G0000000|C0036644
high-dose cisplatin,high-dose cisplatin,C0444956|C0008838
radiotherapy,radiotherapy,C0034619
tocilizumab-treated,tocilizumab-treated,C1609165
cervical spine manipulative therapy,cervical spine manipulative therapy,C0027530|C0037949|C0947647|C0039798
endotracheal tube ( ETT ),endotracheal tube ett,C0599554|C0175730|G0000000
stepwise hook extension technique,stepwise hook extension technique,G0000000|C0181209|C0231448|C0449851
500-Hz low-pass noise,500-hz low-pass noise,C1442061|C0205251|C0028263
PTF,ptf,G0000000
chemotherapy without vitamin E supplementation,chemotherapy vitamin supplementation,C0013216|C0042890|C0242297
Galactomannan,galactomannan,C0060961
propofol/alfentanil/N2O anaesthesia with thiopentone/halothane/N2O anaesthesia,propofol/alfentanil/n2o anaesthesia thiopentone/halothane/n2o anaesthesia,C0033487|C0002903|C0039925|C0002903
fluoxetine alone,fluoxetine,C0016365
use of lottery tickets as incentives,lottery tickets incentives,G0000000|G0000000|C0021147
levosimendan,levosimendan,C0246904
a low-starch ( LS ) diet,low-starch ls diet,C0205251|C0023668|C0012155
osteotomy shape,osteotomy shape,C0029468|C0332479
nitrate,nitrate,C0028125
combined verapamil/lithium,combined verapamil/lithium,C0205195|C0042523
CO2 laser vaporization plus 5-FU plus IFN alpha-2a ( high dose ) ( 93.93 % ),co2 laser vaporization 5-fu ifn alpha-2a dose 93 93 %,G0000000|C0023089|C0348007|C0016360|G0000000|C0439095|C0178602|C0450371|C0450371|G0000000
conventional suture,conventional suture,C0439858|C0009068
radical prostatectomy,radical prostatectomy,C0302912|C0033573
Chlorthalidone,chlorthalidone,C0008294
presentations of the standard duration .,presentations standard duration,C0449450|C1442989|C0449238
with routine practice for exuding wounds,routine practice exuding wounds,C0205547|C0237607|G0000000|C0021501
low-intensity exercise program,low-intensity exercise program,C0596836|C0015259|C1709697
Antiviral prophylaxis,antiviral prophylaxis,C0003451|C0033107
50 mg of hydralazine,50 hydralazine,C0450371|C0020223
live workshop training,live workshop training,C1548795|C0242262|C0040607
summary,summary,C1552616
intranasal oxytocin,intranasal oxytocin,C0442118|C0030095
Na as the chloride salt,chloride salt,C0008203|C0036140
graded exercise therapy,graded exercise therapy,C0441800|C0015259|C0039798
antiangiogenic,antiangiogenic,C0596087
conventional procedure,conventional procedure,C0439858|C0184661
individualized CHM decoctions,individualized chm decoctions,C1881197|G0000000|G0000000
arteriovenous extracorporeal lung assist ( AV-ECLA ),arteriovenous extracorporeal lung assist av-ecla,C0450109|C0442087|C0024109|C0018896|G0000000
cyclosporin-prednisolone,cyclosporin-prednisolone,C0010592
increased carbohydrate and fiber intakes,increased carbohydrate fiber intakes,C0205217|C0007004|C0012173|C1512806
Osstell,osstell,G0000000
carboplatin,carboplatin,C0079083
Pulsed low-intensity direct current ( 300 to 600 microA ),pulsed low-intensity direct current 300 600 microa,C1947910|C0596836|C0439851|C0521116|C1442061|C1442061|G0000000
Interferon,interferon,C0021747
simvastatin ( MK 733,simvastatin mk 733,C0074554|C0083453|C1442061
posts used for luting were duplicated with dual resin cement ( Duo-link ) inside Aestheti Plus # 2 molds,posts luting duplicated dual resin cement duo-link inside aestheti # 2 molds,C0687676|G0000000|C0332597|C1554184|C0035191|C0011343|C0967989|G0000000|G0000000|G0000000|G0000000|C0369241
extent to which the experimenter talked to the infant,extent experimenter talked infant,C0439792|G0000000|C0037817|C0021270
Drinking water,drinking water,C0001948|C0043047
ambulatory phlebectomy,ambulatory phlebectomy,C0439841|C0191017
im TU,tu,C0041400
Home-based reach-to-grasp training,home-based reach-to-grasp training,C0442519|C2584321|C0040607
Tubeless PCNL,tubeless pcnl,G0000000|G0000000
PVP,pvp,G0000000
gestodene ( GTD ),gestodene gtd,C0061246|C2698419
liver surgery II -- regional chemotherapy,liver surgery ii -- regional chemotherapy,C0023884|C0038894|G0000000|G0000000|C0205147|C0013216
Abdominoperineal resection,abdominoperineal resection,C0442411|C0015252
dummy run ( DR ),dummy dr,G0000000|C0013014
alpha-beta adrenoceptor blocking agent labetalol,alpha-beta adrenoceptor blocking agent labetalol,C0439095|C0034783|C0233660|C0450442|C0022860
strength/weight training ( ST ) exercises,strength/weight training st exercises,C0237897|C0040607|C0036056|C0015259
SIMV+PS,simv+ps,C0242397
Nitroglycerin,nitroglycerin,C0017887
total androgen ablation,total androgen ablation,C0439175|C0002844|C0547070
creation of pleural tent,creation pleural tent,C0441513|C0032225|C0183875
Methotrexate,methotrexate,C0025677
cuff inflation,cuff inflation,C0441107|C0021398
facemask and ETT,facemask ett,C0180823|G0000000
oxprenolol or methyldopa,oxprenolol methyldopa,C0030040|C0025741
low-glycogen,low-glycogen,C0205251
controlled drinking,controlled drinking,C2587213|C0001948
spinal 2-CP,spinal 2-cp,C0521329|C4050020
angiotensin receptor blockers ( ARB ),angiotensin receptor blockers arb,C0003018|C0597357|G0000000|C3888198
Goal attainment scaling ( GAS ),goal attainment scaling gas,C0018017|G0000000|C0237849|C0017110
ziprasidone,ziprasidone,C0380393
procarbazine,procarbazine,C0033223
carbamazepine,carbamazepine,C0006949
nebivolol,nebivolol,C0068475
intensive treatment,intensive treatment,C0162425|C0039798
Ranitidine,ranitidine,C0034665
transrectal ultrasonography ( TRUS ),transrectal ultrasonography trus,C0205518|C0041618|C0373345
"saline , bupivacaine",saline bupivacaine,C0036082|C0006400
no dietary restriction,dietary restriction,C0012155|C0443288
HIV intervention,hiv intervention,C0019682|C0886296
FEC 100,fec 100,C0060133|C1442061
B-vitamins,b-vitamins,C0042849
estradiol ( 2mg ) +dydrogesterone ( 10mg ) ( DYDR group ),estradiol 2mg +dydrogesterone 10mg dydr,C0014912|G0000000|C0013340|G0000000|G0000000
GnRH-a,gnrh-a,C0023610
eprosartan ( 600 mg/day ),eprosartan 600 mg/day,C0287041|C1442061|C0439422
H2-histamine receptor antagonists,h2-histamine receptor antagonists,C0262926|C0597357|C0243076
MF-DPI 200 microg twice-daily,mf-dpi 200 microg twice-daily,C0024974|C1442061|G0000000|C0585361
'controlled-release ' ketoprofen tablets,controlled-release ketoprofen tablets,C0868939|C0022635|C0039225
acetaminophen and hydrocodone,acetaminophen hydrocodone,C0000970|C0020264
stent-supported angioplasty ( CAS ),stent-supported angioplasty cas,C0038257|C0162577|G0000000
parsalmide,parsalmide,C0070123
SunSafe,sunsafe,G0000000
chemotherapy with estramustine phosphate ( EMP ) and vinblastine ( VBL ),chemotherapy estramustine phosphate emp vinblastine vbl,C0013216|C0014921|C0031603|C1422169|C0042670|C0042670
midazolam+fentanyl combination,midazolam+fentanyl combination,C0026056|C0205195
fosamprenavir ( FPV ),fosamprenavir fpv,C1176315|G0000000
standard lymphadenectomy .,standard lymphadenectomy,C1442989|C0024203
aerosolized pentamidine,aerosolized pentamidine,C2986498|C0030863
low salt ( 100 mEq Na+/day ) for 2 weeks and the same diet supplemented by 100 mEq Na+ for 4 weeks,low salt 100 meq na+/day 2 weeks diet supplemented 100 meq na+ 4 weeks,C0205251|C0036140|C1442061|C0439152|C0597484|G0000000|C0439230|C0012155|C0242295|C1442061|C0439152|C0597484|G0000000|C0439230
delayed clamping,delayed clamping,C0205421|C0521213
Fenofibrate therapy,fenofibrate therapy,C0033228|C0039798
Rest and exercise nuclear ventriculograms,rest exercise nuclear ventriculograms,C0035253|C0015259|C0521447|C0007800
retrobulbar anesthesia .,retrobulbar anesthesia,C0230065|C0002903
participated in psychoeducation,participated psychoeducation,G0000000|C0871175
( placebo ),placebo,C0032042
500 mg of clarithromycin,500 clarithromycin,C1442061|C0055856
different stretching durations,stretching durations,C0600080|C0449238
MBT-AS .,mbt-as,C1335267
diclofenac diethylamine,diclofenac diethylamine,C0012091|C0057938
"Large volume , low pressure endotracheal tube cuffs",volume low pressure endotracheal tube cuffs,C0449468|C0205251|C0033095|C0599554|C0175730|C0441107
antiviral treatment,antiviral treatment,C0003451|C0039798
"placebo , followed six weeks later by secretin",placebo weeks secretin,C0032042|C0439230|C0036534
ACT-178882,act-178882,C0079613
lignan and proanthocyanidin intake,lignan proanthocyanidin intake,C0064971|C0072018|C1512806
use of video during home-visits,video home-visits,C0042655|C0020043
Femoral vein contrast delivery,femoral vein contrast delivery,C0015811|C0042449|C0009924|C0011209
pulsed low-intensity direct current,pulsed low-intensity direct current,C1947910|C0596836|C0439851|C0521116
hepatitis B surface antigen ( HBsAg ),hepatitis surface antigen hbsag,C0019158|C0205148|C0003320|C0019168
placebo supplements,placebo supplements,C0032042|C0242295
one of 5 modes of ventilation during bypass,5 modes ventilation bypass,G0000000|C1513371|C0035203|C0741847
an error correction method,error correction method,C0743559|C1705565|C0025663
reference,reference,C1514811
oxitropium,oxitropium,C0069776
PEERS social skills intervention,peers social skills intervention,C0679739|C0728831|C0678856|C0886296
nicorandil :,nicorandil,C0068700
dexamethasone with 0.5 mg/kg,dexamethasone 0 5 mg/kg,C0011777|G0000000|G0000000|C0439272
total thyroidectomy plus CND,total thyroidectomy cnd,C0439175|C0040145|C1844671
subarachnoid mepivacaine,subarachnoid mepivacaine,C1515008|C0025384
b.i.d .,NULL,NULL
tension-free repairs,tension-free repairs,C0233494|C0043240
influenza vaccine,influenza vaccine,C0021400|C0042210
Intraperitoneal distribution imaging,intraperitoneal distribution imaging,C0442120|C0520511|C0011923
two-step hyperinsulinemic euglycemic glucose clamp,two-step hyperinsulinemic euglycemic glucose clamp,C0205448|G0000000|G0000000|C0017725|C0175721
ampicillin,ampicillin,C0002680
1 mCi of Tc-99m SC,1 mci tc-99m sc,G0000000|C0560005|C0039411|C0282380
the same lead design without steroid or membrane,lead design steroid membrane,C0023175|C1707689|C0038317|C0025255
Pyrimethamine,pyrimethamine,C0034283
electrothermal bipolar vessel system ( EBVS ),electrothermal bipolar vessel system ebvs,G0000000|C0443156|C0005847|C0449913|C0549463
ischaemia,ischaemia,C0022116
Genotyping,genotyping,C1285573
CUSA with TL,cusa tl,G0000000|C0220928
bed rest,bed rest,C0004916|C0035253
theta burst stimulation ( TBS ),theta burst stimulation tbs,C0439101|C0439818|C1292856|C0265246
"Speech audiometry was performed under four different conditions : headset only , and three different ear plugs worn under the headset",speech audiometry performed conditions headset ear plugs worn headset,C0037817|C0004286|C0884358|C0012634|C1708332|C0013443|C0182324|G0000000|C1708332
standard therapy ( glucocorticoids plus cyclophosphamide or methotrexate ) .,standard therapy glucocorticoids cyclophosphamide methotrexate,C1442989|C0039798|C0017710|C0010583|C0025677
high-dose cytarabine,high-dose cytarabine,C0444956|C0010711
self-managed exercise,self-managed exercise,C0036588|C0015259
