third stage of labor,stage labor,C0205390|C0022864
caudal blockade,caudal blockade,C0205097|C0332206
related pervasive developmental disorder ( PDD ),pervasive developmental disorder pdd,C0205391|C0458003|C0012634|C0008838
chronic heart failure,chronic heart failure,C0205191|C0018787|C0231174
young healthy women,healthy women,C3898900|C0043210
preschool children,preschool children,C0424930|C0008059
high urinary excretion of toxic metals,urinary excretion toxic metals,C0042027|C0221102|C0600688|C0025552
early satiety,satiety,C0036239
aged between 38 and 61,aged 38 61,C0001779|C0450371|C0450371
renal calculi,renal calculi,C0022646|C0006736
"Forty women , aged 26-40 years",forty women aged 26-40,C3816449|C0043210|C0001779|C0450371
ear surgery,ear surgery,C0013443|C0038894
age-related macular degeneration,age-related macular degeneration,C0001779|C0332574|C0011164
Asperger Syndrome,asperger syndrome,G0000000|C0039082
autistic,autistic,C0004352
60 women,60 women,C0450371|C0043210
placebo,placebo,C0032042
seven diabetic,diabetic,C0241863
require artificial ventilation for at least 48 h,require artificial ventilation 48,G0000000|C2004457|C0035203|C0450371
Immigrants,immigrants,C0282163
acquired immunodeficiency syndrome,acquired immunodeficiency syndrome,C0439661|C0021051|C0039082
excessive sleepiness,excessive sleepiness,C0442802|C0013144
peptic ulcer,peptic ulcer,C0443277|C0041582
chronic hepatic encephalopathy,chronic hepatic encephalopathy,C0205191|C0205054|C0006111
Twenty-nine patients,twenty-nine patients,C0450351|C0030705
after Roux-en-Y gastric bypass surgery .,roux-en-y gastric bypass surgery,C0002804|C0038351|C0741847|C0038894
prostatic adenoma,prostatic adenoma,C0033572|C0001430
One hundred and sixty-one,sixty-one,C3816724
measurable disease,measurable disease,C1513040|C0012634
219 men,219,C1442061
mild sleep-disordered breathing ( SDB ),mild sleep-disordered breathing sdb,C2945599|C0037317|C0004048|G0000000
40.4,40 4,C0450371|G0000000
elderly patients undergoing hip fracture repair .,elderly patients undergoing hip fracture repair,C0001792|C0030705|G0000000|C0019552|C0016658|C0043240
eyelid skin,eyelid skin,C0015426|C0444099
subgroup of patients with sarcomas of the trunk ( 39 patients ),subgroup patients sarcomas trunk 39 patients,C1079230|C0030705|C1261473|C0225442|C0450371|C0030705
cancer pain,cancer pain,C0006826|C0030193
esophageal manometry,esophageal manometry,C1522619|C0024751
249 adults,249 adults,C1442061|C0001675
One hundred and thirty-four,thirty-four,C3816446
Six hundred eighty-eight,eighty-eight,C3816958
advanced melanoma,advanced melanoma,C0205179|C0025202
Down syndrome,syndrome,C0039082
Ninety-five,ninety-five,C3816959
with prior response to endocrine therapy,prior response endocrine therapy,C0332152|C0871261|C0014136|C0039798
coronary heart disease,coronary heart disease,C0018787|C0018787|C0012634
74 +/- 10 years,74 +/- 10,C0450371|G0000000|C0450371
ALL,NULL,NULL
123 women younger than 70 years of age,123 women 70 age,C1442061|C0043210|C0450371|C0001779
Veterans,veterans,C0042610
patients with pre-core mutant hepatitis B,patients pre-core mutant hepatitis,C0030705|C0332152|C0596988|C0019158
85 or older,85,C0450371
Fifty-four children,fifty-four children,C3816723|C0008059
12 female,12 female,C0450371|C0015780
ALS,als,G0000000
haematological malignancies,haematological malignancies,C0018943|C0006826
latent tuberculosis infection ( LTBI ),latent tuberculosis infection ltbi,C0205275|C0041296|C0009450|G0000000
"8,000",8 000,G0000000|C1442061
36 obese,36 obese,C0450371|C0028754
hypothyroid,hypothyroid,C0020676
pulmonary arterial hypertension in children .,pulmonary arterial hypertension children,C0024109|C0003842|C0020538|C0008059
autism spectrum disorders,autism spectrum disorders,C0004352|C1883073|C0012634
intrahepatic cholestasis .,intrahepatic cholestasis,C1512948|C0008370
fractures of the carpal scaphoid,fractures carpal scaphoid,C0016658|C0007285|C0223724
cyclosporin-treated renal transplant recipients,cyclosporin-treated renal transplant recipients,C0010592|C0022646|C0040732|C1709854
AMI,ami,G0000000
AML,aml,C0023467
4-10 years,4-10,C0450371
breast cancer patients,breast cancer patients,C0006141|C0006826|C0030705
healthy male,healthy male,C3898900|C0086582
actinic keratosis ( AK ),actinic keratosis ak,C0439681|C0022593|C0001905
adolescent boys,adolescent boys,C0205653|C0870221
2794 women,2794 women,G0000000|C0043210
MBC and normal cardiac function,mbc normal cardiac function,C0065839|C0205307|C0018787|C0031843
ROP,rop,C0035344
upper urinary tract urothelial carcinoma,upper urinary tract urothelial carcinoma,C1282910|C0042027|C1185740|C0227598|C0007097
progressive decline in renal function,progressive decline renal function,C0205329|G0000000|C0022646|C0031843
oral surgery patients,oral surgery patients,C0442027|C0038894|C0030705
young adults,adults,C0001675
pancreatic head cancer,pancreatic head cancer,C0030274|C0018670|C0006826
cancer chemotherapy,cancer chemotherapy,C0006826|C0013216
premenopausal OC,premenopausal oc,C0279752|C1412791
B-cell non-Hodgkin 's lymphoma,b-cell non-hodgkin lymphoma,C0004561|C0024305|C0024299
310 adults,310 adults,C1442061|C0001675
received calcium,received calcium,C1514756|C0006675
contact lens wearers,contact lens wearers,C0332158|C0023317|G0000000
5362,5362,G0000000
patients with severe TBI .,patients severe tbi,C0030705|C0205082|C0876926
270 patients,270 patients,C1442061|C0030705
17 males,17 males,C0450371|C0086582
gangrene,gangrene,C0017086
subject 's fist clenching,subject fist clenching,C0681850|C0336667|G0000000
sensory problems,sensory,C0445254
27 boys,27 boys,C0450371|C0870221
Seventy-six,seventy-six,C3816957
3-13,3-13,C0450371
100,100,C1442061
66 women,66 women,C0450371|C0043210
101,101,C1442061
102,102,C1442061
primary open-angle glaucoma,primary open-angle glaucoma,C0205225|C0175566|C0017601
103,103,C1442061
104,104,C1442061
APD,apd,C0043603
105,105,C1442061
106,106,C1442061
high-grade glioma,high-grade glioma,C0205082|C0017638
107,107,C1442061
postmenopausal women on hormone therapy,postmenopausal women hormone therapy,C0232970|C0043210|C0019932|C0039798
108,108,C1442061
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,C0205191|C0549186|C0024109|C0012634
71.2,71 2,C0450371|G0000000
110,110,C1442061
111,111,C1442061
112,112,C1442061
women .,women,C0043210
113,113,C1442061
114,114,C1442061
115,115,C1442061
116,116,C1442061
117,117,C1442061
STEMI,stemi,C3538872
118,118,C1442061
8407,8407,G0000000
119,119,C1442061
CKD stages 1 to 5,ckd stages 1 5,C1561643|C1306673|G0000000|G0000000
bulimia nervosa,bulimia nervosa,C0006370|G0000000
coronary vasospasm,coronary vasospasm,C0018787|C0042396
preterm infants,preterm infants,C0151526|C0021270
Four hundred ninety six,NULL,NULL
asthma,asthma,C0004096
gingival inflammation during the fourth and eighth months of pregnancy .,gingival inflammation fourth eighth months pregnancy,C0017562|C0021368|C0205438|C0205442|C0439231|C0032961
120,120,C1442061
122,122,C1442061
161 recurrence-free breast cancer,161 recurrence-free breast cancer,C1442061|C0034897|C0006141|C0006826
123,123,C1442061
vaginal adenosis,vaginal adenosis,C0042232|C0085750
124,124,C1442061
96 women,96 women,C0450371|C0043210
125,125,C1442061
126,126,C1442061
128,128,C1442061
129,129,C1442061
metastatic colorectal carcinoma ( CRC ),metastatic colorectal carcinoma crc,C0036525|C0555952|C0007097|C0009402
mandibular retrognathism,mandibular retrognathism,C0024687|C0035353
98 patients affected by a dirty wound .,98 patients dirty wound,C0450371|C0030705|C1563093|C0043250
71+/-2 yr,71+/-2 yr,C0450371|C0439234
11 years,11,C0450371
20 males,20 males,C0450371|C0086582
130,130,C1442061
131,131,C1442061
erectile dysfunction,erectile dysfunction,C0030847|C0031847
132,132,C1442061
133,133,C1442061
ASD,asd,C0003516
Nine women,women,C0043210
138,138,C1442061
patient group,patient,C0030705
139,139,C1442061
acute pain .,acute pain,C0205178|C0030193
type 2 diabetes mellitus,type 2 diabetes mellitus,C0332307|G0000000|C0011847|G0000000
complex regional pain syndrome,complex regional pain syndrome,C0439855|C0205147|C0030193|C0039082
ASA Class I-III female patients about to undergo major abdominal gynaecological surgery or vaginal hysterectomy,asa class i-iii female patients undergo major abdominal gynaecological surgery vaginal hysterectomy,C0004057|C0456387|C0021966|C0015780|C0030705|G0000000|C0205082|C0000726|C0018417|C0038894|C0042232|C0020699
19 and 24 years,19 24,C0450371|C0450371
children with autism,children autism,C0008059|C0004352
oliguria,oliguria,C0028961
symptomatic contact lens wearers,symptomatic contact lens wearers,C0231220|C0332158|C0023317|G0000000
75 years,75,C0450371
140,140,C1442061
141,141,C1442061
142,142,C1442061
primary coronary surgery,primary coronary surgery,C0205225|C0018787|C0038894
143,143,C1442061
postoperative phase,postoperative phase,C0032790|C0205390
144,144,C1442061
145,145,C1442061
146,146,C1442061
147,147,C1442061
149,149,C1442061
6 women,6 women,G0000000|C0043210
femoral fractures,femoral fractures,C0015811|C0016658
liver transplantation,liver transplantation,C0023884|C0040732
29 women,29 women,C0450371|C0043210
acute manic or mixed episode,acute manic mixed episode,C0205178|C0338831|C0205430|C0332189
children with and without autism,children autism,C0008059|C0004352
ventricular tachycardia ( VT ),ventricular tachycardia vt,C0018827|C0039231|C0042427
Ninety-six women,ninety-six women,C3816959|C0043210
69 hairy cell leukemia ( HCL ),69 hairy cell leukemia hcl,C0450371|C0221958|C0007634|C0023418|G0000000
150,150,C1442061
52 hypogonadal men,52 hypogonadal,C0450371|G0000000
mycosis fungoides,mycosis fungoides,C0026946|G0000000
151,151,C1442061
152,152,C1442061
153,153,C1442061
154,154,C1442061
156,156,C1442061
high-risk head and neck surgery,high-risk head neck surgery,C0332167|C0018670|C0027530|C0038894
gastroesophageal reflux disease ( GERD ) .,gastroesophageal reflux disease gerd,C0744316|C0017168|C0012634|C0017168
158,158,C1442061
159,159,C1442061
72 seventh-grade girls,72 seventh-grade girls,C0450371|C0205441|C0870604
familial hypercholesterolemia,familial hypercholesterolemia,C0015576|C0020443
displaced midshaft clavicular fractures-a,displaced midshaft clavicular fractures-a,C0012727|G0000000|C0008913|C0016658
high-risk cardiac surgery patients,high-risk cardiac surgery patients,C0332167|C0018787|C0038894|C0030705
laparoscopic adrenalectomy ( LA ),laparoscopic adrenalectomy la,C0031150|C0001632|C0023031
50 patients,50 patients,C0450371|C0030705
18 and 40 years,18 40,C0450371|C0450371
C parvum,parvum,C1422815
160,160,C1442061
27 women,27 women,C0450371|C0043210
164,164,C1442061
165,165,C1442061
ADHD children :,adhd children,C1263846|C0008059
166,166,C1442061
postprandial bloating,postprandial bloating,C0376674|C1291077
168,168,C1442061
Thirty-four,thirty-four,C3816446
luminal A breast cancer,luminal breast cancer,C0524462|C0006141|C0006826
urinary excretion of ferulic acid in humans,urinary excretion ferulic acid humans,C0042027|C0221102|G0000000|C0001128|C0086418
adults,adults,C0001675
24 men,24,C0450371
flea infestations,flea infestations,C0016228|C0851341
breast fibroadenomas in Chinese women .,breast fibroadenomas chinese women,C0006141|C0206650|C0008120|C0043210
171,171,C1442061
174,174,C1442061
68+/-3 yr,68+/-3 yr,C0450371|C0439234
175,175,C1442061
176,176,C1442061
61 to 81 years,61 81,C0450371|C0450371
177,177,C1442061
178,178,C1442061
179,179,C1442061
intellectual disabilities ( IDs ),intellectual disabilities ids,G0000000|C0231170|C1517604
Fifty-two,fifty-two,C3816723
patients treated with oral hypoglycaemic agents,patients treated oral hypoglycaemic agents,C0030705|C1522326|C0442027|C0020616|C0450442
hematological malignancy,hematological malignancy,C0018943|C0006826
normal,normal,C0205307
experimental animals,experimental animals,C1517586|C0003062
low plasma folate,low plasma folate,C0205251|C0032105|C0178638
persistent ST depression,persistent st depression,C0205322|C0036056|C0011570
8 asthmatics,8 asthmatics,G0000000|C0004096
All patients received,patients received,C0030705|C1514756
180,180,C1442061
41 patients,41 patients,C0450371|C0030705
obesity .,obesity,C0028754
183,183,C1442061
184,184,C1442061
epicondylitis,epicondylitis,C0014488
hematologic malignancies,hematologic malignancies,C0018943|C0006826
841 women,841 women,C1442061|C0043210
188,188,C1442061
189,189,C1442061
adult volunteers,adult volunteers,C0001675|C0042960
CKD stages 1 to 5 and 5D,ckd stages 1 5 5d,C1561643|C1306673|G0000000|G0000000|C0043316
59 +/- 5.9 years,59 +/- 5 9,C0450371|G0000000|G0000000|G0000000
without gastro-oesophageal reflux,gastro-oesophageal reflux,C0744316|C0017168
Cutaneous Lymphoma,cutaneous lymphoma,C0221912|C0024299
Fisher grade III subarachnoid hemorrhage :,fisher grade iii subarachnoid hemorrhage,C0325045|C0441800|C0439070|C1515008|C0019080
paroxysmal atrial fibrillation or flutter ( PAF/PAFL ),paroxysmal atrial fibrillation flutter paf/pafl,C0205311|C0018792|C0232197|C0016385|C3811388
ST-segment elevation acute myocardial infarction,st-segment elevation acute myocardial infarction,C0429029|C0439775|C0205178|C0027061|C0021308
continuous severe lower back pain during labour,continuous severe lower pain labour,C0549178|C0205082|C0441994|C0030193|C0022864
125 women,125 women,C1442061|C0043210
190,190,C1442061
191,191,C1442061
192,192,C1442061
Eighty freshly extracted maxillary premolars,freshly extracted maxillary premolars,G0000000|C0185115|C0024947|C1704302
195,195,C1442061
196,196,C1442061
198,198,C1442061
children,children,C0008059
mild obstructive sleep apnea,mild obstructive sleep apnea,C2945599|C0549186|C0037313|C0003578
2- to 5-year olds,2- 5-year olds,G0000000|C0439234|C0580836
Medical safety,medical safety,C0199168|C0036043
male laryngectomees,male laryngectomees,C0086582|C1517739
121 gastric cancer,121 gastric cancer,C1442061|C0038351|C0006826
16 decompensated heart failure,16 decompensated heart failure,C0450371|C0205434|C0018787|C0231174
DPLD,dpld,G0000000
patients with Posttraumatic stress disorder ( PTSD ),patients posttraumatic stress disorder ptsd,C0030705|G0000000|C0038435|C0012634|C0038436
glomerular filtration rate,glomerular filtration rate,C0022663|C0016107|C0871208
deficit syndrome,deficit syndrome,C0162429|C0039082
32 929,32 929,C0450371|C1442061
patients unfit for open repair of abdominal aortic aneurysm,patients unfit repair abdominal aortic aneurysm,C0030705|G0000000|C0043240|C0000726|C0003483|C0002940
class II to IV HF,class ii iv hf,C0456387|G0000000|C0022326|C0018488
peripheral pulmonary lesions :,peripheral pulmonary lesions,C0205100|C0024109|C0221198
